Nomi,Narxi ($),Tavsifi,Rasm
DS-2CE10DF0T-PF(2.8mm)(O-STD),25,2MCMOSSensor.OutdoorBullet.0.001Lux/F1.0.0LuxwithwhiteLight.20m.3DDNR.12VDC.OSDMenu(UptheCoax).IP67.2.8/3.6/6mmLens.24HColor，SupportTVI/AHD/CVI/CVBSvideosignaloutput.,
DS-2CE10DF3T-PF(2.8mm)(O-STD),26,2MBSICMOSSensor.OutdoorminiBullet.0.0005Lux/F1.0.0LuxwithFriendlyLighting.20M.3DDNR.DC12V.OSDMenu(UptheCoax).130dBTrueWDR.IP67.2.8/3.6/6mmLens.24HColor.SupportTVI/AHD/CVI/CVBSvideosignaloutput,
DS-2CE11H0T-PIRLP(2.8mm)(O-STD),26,5MP@20fps. 4MP@25fps(P)/30fps(N)(Default). EXIR. 20m IR. Outdoor EXIR Bullet. ICR. 0.01 Lux/F1.2. 12 VDC. PIR Detection，Led Alarm.Smart IR.DNR.OSD Menu(Up the Coax). IP67. 2.8/3.6mm Lens,
DS-2CE12DF0T-F(2.8mm)(O-STD),28,2M CMOS Sensor. Outdoor Bullet.0.001Lux/F1.0.0 Lux with white Light.40m.3D DNR.12 VDC.OSD Menu(Up the Coax).  IP67. 2.8/3.6/6mm Lens.24H  Color，Support TVI/AHD/CVI/CVBS video signal output,
DS-2CE12DF3T-F 2.8MM,35,"2 MP ColorVu Fixed Bullet Camera
High quality imaging with 2 MP, 1920 × 1080 resolution
24/7 color imaging with F1.0 aperture
Clear imaging against strong back light due to 130 dB true WDR technology
3D DNR technology delivers clean and sharp images
2.8 mm, 3.6 mm fixed focal lens
Up to 40 m white light distance for bright night imaging
One port for four switchable signals (TVI/AHD/CVI/CVBS)
Water and dust resistant (IP67)",
"DS-2CE12H0T-PIRLO 2,8mm",25,5MP@20fps. 4MP@25fps(P)/30fps(N)(Default).EXIR. 20m IR. Outdoor EXIR Bullet. ICR. 0.01 Lux/F1.2. 12 VDC. PIR Detection，Led Alarm&Lighting.Smart IR. DNR.OSD Menu(Up the Coax). IP67. 2.8/3.6mm Lens,
"DS-2CE16D0T-IRP 2,8mm",19,"High quality imaging with 2 MP. 1920 × 1080 resolution
2.8 mm. 3.6 mm fixed lens
Up to 20 m IR distance for bright night imaging
One port for four switchable signals (TVI/AHD/CVI/CVBS)
Water and dust resistant (IP67)",
DS-2CE16D0T-ITPFS(2.8mm)(O-STD),22,2MP CMOS Sensor. 1080P@25fps(P)(Default)/30fps(N).EXIR. 25m IR. Outdoor EXIR Bullet. ICR. 0.01 Lux/F1.2. 12 VDC. Smart IR. DNR. Built-in Mic.Audio up Coaxial(Only TVI).OSD Menu(Up the Coax). IP67.2.8/3.6/6mm Lens，Support TVI/AHD/CVI/CVBS video signal output,
"DS-2CE16D0T-EXIPF 2,8mm",17,"2MP CMOS Sensor, 1 pcs EXIR LEDs, 20m IR, Outdoor EXIR Bullet, ICR, 0.02 Lux/F1.2, 12 VDC, Smart IR, DNR, IP66, 2.8/3.6mm Lens, Support TVI/AHD/CVI/CVBS video signal output",
DS-2CE16H0T-IT3F(6mm)(O-STD),15,5MP@20fps. 4MP@25fps(P)/30fps(N)(Default). EXIR. 40m IR. Outdoor EXIR Bullet. ICR. 0.01 Lux/F1.2. 12 VDC. Smart IR. DNR. OSD Menu(Up the Coax). IP67. 2.8/3.6/6/8/12mm Lens，Support TVI/AHD/CVI/CVBS video signal output,
DS-2CE16H0T-ITPF(2.8mm)(O-STD)(C),25,5MP@20fps. 4MP@25fps(P)/30fps(N)(Default). EXIR. 25m IR. Outdoor EXIR Bullet. ICR. 0.01 Lux/F1.2. 12 VDC. Smart IR. DNR. OSD Menu(Up the Coax). IP67. 2.4/2.8/3.6/6mm Lens，Support TVI/AHD/CVI/CVBS video signal output,
